Cohort,Name,Grade,Empathy Skills,Advocacy Skills,Purpose,Number of Social Impact Classes,Number of sign ups on Mobile Serve,Students reflection on empathy beginning of year,Students reflection on empathy end of year,Empathy Year Delta,Students reflection on advocacy beginning of year,Students reflection on advocacy end of year,Advocacy Year Delta,Students reflection on purpose beginning of year,Students reflection on purpose end of year,Purpose Delta,Teacher feedback on the above areas of growth,Students reflection on feeling more confident
1,1,9,4,4,3,1,4,4,5,1,5,7,2,2,3,1,4,5
1,2,9,5,5,5,2,5,4,5,1,5,6,1,6,7,1,7,6
1,3,9,3,4,2,1,2,4,6,2,5,7,2,1,3,2,5,5
1,4,9,4,3,4,2,5,3,4,1,2,4,2,3,5,2,4,4
1,5,9,6,7,5,2,5,5,6,1,6,8,2,4,5,1,5,6
1,6,9,3,4,4,1,2,2,3,1,3,5,2,3,4,1,5,4
1,7,9,4,4,5,2,3,3,5,2,3,5,2,6,7,1,5,5
1,8,9,2,3,1,1,5,1,2,1,3,5,2,1,2,1,4,3
1,9,9,4,5,5,2,5,4,6,2,5,7,2,4,5,1,6,6
1,10,9,5,5,6,3,3,5,7,2,5,7,2,6,8,2,8,7
1,1,10,5,6,4,2,3,5,7,2,6,8,2,4,5,1,7,6
1,2,10,7,7,7,3,3,8,10,2,6,8,2,8,9,1,10,9
1,3,10,5,6,3,2,2,6,8,2,7,9,2,4,5,1,7,7
1,4,10,5,5,6,2,4,4,6,2,6,7,1,6,8,2,6,7
1,5,10,8,8,7,3,3,9,9,0,8,10,2,7,9,2,8,9
1,6,10,5,5,5,3,5,4,6,2,4,5,1,6,7,1,6,6
1,7,10,5,6,6,2,4,4,5,1,6,7,1,5,7,2,7,6
1,8,10,4,5,2,2,5,3,5,2,5,6,1,1,3,2,4,4
1,9,10,6,7,6,3,4,7,8,1,8,10,2,5,7,2,9,8
1,10,10,6,7,7,2,5,5,7,2,7,8,1,7,9,2,7,8
1,1,11,7,7,5,3,5,8,9,1,6,8,2,6,7,1,9,8
1,2,11,9,9,9,4,4,8,10,2,10,11,1,10,10,0,10,10
1,3,11,6,7,4,3,4,6,8,2,6,8,2,5,6,1,8,7
1,4,11,6,7,7,4,4,6,7,1,8,9,1,7,8,1,8,8
1,5,11,9,10,9,3,5,8,9,1,11,13,2,10,10,0,10,10
1,6,11,7,7,7,4,4,6,7,1,6,7,1,6,7,1,6,7
1,7,11,7,7,7,3,4,7,8,1,7,8,1,7,8,1,9,8
1,8,11,6,6,4,4,5,6,8,2,7,9,2,3,5,2,6,7
1,9,11,8,8,7,3,3,7,9,2,8,10,2,8,10,2,8,9
1,10,11,8,9,8,4,4,9,9,0,10,12,2,8,10,2,11,10
1,1,12,8,8,6,4,5,9,9,0,9,10,1,6,7,1,8,8
1,2,12,10,10,10,5,5,10,10,0,10,11,1,10,10,0,11,10
1,3,12,8,8,5,4,5,9,9,0,7,9,2,4,5,1,8,7
1,4,12,8,9,8,5,5,8,10,2,10,12,2,9,9,0,9,10
1,5,12,10,10,10,4,5,10,10,0,10,11,1,9,9,0,9,10
1,6,12,8,8,8,5,5,8,9,1,9,10,1,9,9,0,10,9
1,7,12,9,8,8,4,5,8,10,2,8,10,2,8,10,2,11,10
1,8,12,7,7,5,5,5,6,7,1,8,9,1,6,8,2,7,8
1,9,12,9,10,8,4,5,9,9,0,9,11,2,9,9,0,10,9
1,10,12,9,10,9,5,5,10,10,0,11,12,1,10,10,0,11,10
2,11,9,3,4,4,2,4,4,6,2,3,4,1,3,5,2,5,5
2,12,9,4,3,4,3,5,4,6,2,3,5,2,5,7,2,5,6
2,13,9,4,5,3,2,2,3,5,2,5,6,1,2,3,1,5,4
2,14,9,3,3,4,2,5,3,5,2,2,3,1,3,5,2,4,4
2,15,9,5,4,5,1,3,6,8,2,5,6,1,4,5,1,5,6
2,16,9,4,3,5,2,4,3,5,2,4,6,2,6,7,1,7,6
2,17,9,3,3,4,2,3,4,5,1,3,5,2,4,6,2,6,5
2,18,9,2,3,2,2,3,1,2,1,3,4,1,3,5,2,3,3
2,19,9,6,7,6,2,4,5,7,2,8,10,2,7,9,2,8,8
2,20,9,2,1,3,2,5,1,3,2,0,1,1,4,6,2,3,3
2,11,10,5,5,5,3,4,4,6,2,6,8,2,6,7,1,7,7
2,12,10,5,5,6,3,5,5,7,2,4,6,2,5,6,1,7,6
2,13,10,6,6,4,3,5,7,8,1,5,6,1,5,6,1,7,6
2,14,10,5,4,5,2,5,4,6,2,3,5,2,4,5,1,4,5
2,15,10,6,5,7,2,2,5,7,2,4,5,1,7,9,2,7,7
2,16,10,6,4,7,2,5,6,8,2,5,6,1,7,9,2,8,7
