Name,Cohort,Grade,Empathy_Skills,Purpose,Real_World_Experience,Designing_a_Solution,Advocacy_Skills
24007,2024,12,100,100,85,NA,NA
24020,2024,12,NA,NA,50,65,NA
24032,2024,12,95,NA,100,80,NA
24039,2024,12,NA,NA,95,95,85
24060,2024,12,NA,NA,NA,95,NA
24062,2024,12,NA,60,80,NA,NA
24063,2024,12,NA,NA,50,NA,NA
24069,2024,12,NA,75,NA,NA,NA
24083,2024,12,NA,NA,60,NA,NA
24084,2024,12,100,NA,NA,NA,NA
24086,2024,12,NA,NA,100,NA,NA
24089,2024,12,NA,100,NA,NA,NA
24114,2024,12,NA,100,NA,NA,90
24122,2024,12,NA,NA,100,NA,NA
24125,2024,12,NA,NA,100,100,NA
24141,2024,12,NA,NA,100,91.42857143,NA
24151,2024,12,90,NA,NA,NA,NA
24153,2024,12,NA,100,NA,NA,80
24154,2024,12,100,NA,NA,NA,NA
24157,2024,12,80,80,80,NA,NA
24160,2024,12,NA,60,100,100,NA
24169,2024,12,NA,NA,NA,NA,92
24177,2024,12,60,NA,65,NA,NA
25001,2025,11,80,NA,NA,90,60
25003,2025,11,100,NA,NA,95,NA
25004,2025,11,100,83.33333333,65,100,100
25007,2025,11,NA,65,NA,NA,NA
25008,2025,11,90,NA,NA,NA,NA
25009,2025,11,NA,90,80,NA,NA
25014,2025,11,NA,100,NA,NA,NA
25017,2025,11,NA,78,NA,NA,NA
25046,2025,11,70,NA,80,80,NA
25047,2025,11,NA,50,NA,NA,NA
25049,2025,11,67.5,80,70,85,NA
25053,2025,11,85,NA,NA,NA,NA
25054,2025,11,85,NA,98,90,NA
25055,2025,11,80,80,85,75,NA
25061,2025,11,75,75,75,NA,NA
25063,2025,11,95,50,80,NA,NA
25065,2025,11,90,NA,NA,NA,NA
25068,2025,11,80,80,NA,NA,NA
25070,2025,11,80,90,NA,77.5,NA
25073,2025,11,99,NA,NA,NA,NA
25077,2025,11,83.33333333,100,NA,NA,NA
25080,2025,11,NA,50,100,NA,NA
25085,2025,11,NA,80,NA,90,NA
25088,2025,11,NA,NA,NA,NA,95
25089,2025,11,70,NA,NA,NA,NA
25091,2025,11,70,80,NA,75,NA
25096,2025,11,NA,100,NA,NA,NA
25113,2025,11,NA,NA,95,80,100
25133,2025,11,NA,90,100,NA,NA
25141,2025,11,85,60,NA,NA,87
